Data,Ticket,Assunto,Relator,Status,Prioridade
26/01/2026 19:00:18,N/A,Sem resumo,Desconhecido,N/A,N/A
26/01/2026 19:01:01,SCRUM-38,ZIVA #225452 - Caixa Consorcio,Lucas Romano Pacheco,Pendente,Medium
